metric,mean,std,median,min,max,n,mean_pm_std
FA_MAE,0.23088448395913203,0.12925634265414238,0.16367149173786105,0.14485989417877987,0.4811855801069118,27,0.230884 ± 0.129256
FA_RMSE,0.28815049144917415,0.11651003653173929,0.22825718936325487,0.20641134781128906,0.5131168011622095,27,0.28815 ± 0.11651
FA_r,0.2909323632380306,0.13168171859298208,0.33676979685090136,-0.04074830205886695,0.47817889600099955,27,0.290932 ± 0.131682
MD_MAE,0.00025719825986937915,9.34588858994526e-05,0.0002239334887928657,0.0001629153866725681,0.0005173033091860976,27,0.000257198 ± 9.34589e-05
MD_RMSE,0.0004961142386626396,0.0003826638415095239,0.0004078966930765021,0.00030586809865457875,0.0023411756281467733,27,0.000496114 ± 0.000382664
MD_r,0.6017850263504185,0.14713791598773998,0.6373916094257696,0.24641381367192616,0.7730304172534465,27,0.601785 ± 0.147138
AD_MAE,0.0003361932546528922,9.980635368299125e-05,0.00031626246495855326,0.0002678862784699411,0.000785235371512553,27,0.000336193 ± 9.98064e-05
AD_RMSE,0.0006523597712929709,0.0008352664146203413,0.000487547204960961,0.0003995367620185014,0.004817880935431793,27,0.00065236 ± 0.000835266
AD_r,0.5474044346732251,0.1402562513487285,0.5673785117097276,0.24542900076646065,0.7312716460089538,27,0.547404 ± 0.140256
RD_MAE,0.0002864049246330298,0.00010022657931302417,0.00024703018312784424,0.0001883362975735628,0.0005341537399013006,27,0.000286405 ± 0.000100227
RD_RMSE,0.0004693162812608246,0.00020771908775186058,0.00040430988998039683,0.000303905679075454,0.0013018225696291154,27,0.000469316 ± 0.000207719
RD_r,0.6023915678905306,0.14991614865738706,0.6381805343249882,0.2409336511836816,0.7744523064844347,27,0.602392 ± 0.149916
DWI_MAE,449.51052767358703,129.92490146759323,413.7349355762262,321.45314074381355,811.0273289995124,27,449.511 ± 129.925
DWI_RelMSE,0.09941954266829776,0.05445025256646153,0.08068636679777207,0.055560921623414236,0.24592356518047132,27,0.0994195 ± 0.0544503
final_loss,0.6798978854455758,0.38719884350773126,0.6286845763112597,0.08741717278121078,1.5823597255004371,27,0.679898 ± 0.387199
best_loss,0.4517526739518602,0.30337959090417316,0.3430062015243667,0.06905804673323826,1.332439208264522,27,0.451753 ± 0.30338
training_time_sec,167.53245515293546,46.88104963257848,144.87691974639893,116.93452978134155,319.9279839992523,27,167.532 ± 46.881
