metric,mean,std,median,min,max,n,mean_pm_std
FA_MAE,0.19374828530779456,0.009100600650503428,0.19138395443122738,0.17380663516330347,0.21900002355468387,29,0.193748 ± 0.0091006
FA_RMSE,0.261946334501098,0.009770371981433348,0.2604181488008403,0.24206181603569968,0.28945394457739676,29,0.261946 ± 0.00977037
FA_r,0.15261988660493922,0.03269877743236151,0.15079982126796376,0.08787202184234826,0.2020765573861202,29,0.15262 ± 0.0326988
MD_MAE,0.0002795847771239663,3.650404842763099e-05,0.0002815074412612543,0.00020246720305541367,0.000372603946345536,29,0.000279585 ± 3.6504e-05
MD_RMSE,0.0005022984091264586,5.726360367955702e-05,0.0005045379521258688,0.0003727569356860303,0.0006355980437325812,29,0.000502298 ± 5.72636e-05
MD_r,0.34541845027701784,0.038813638721000986,0.35483045804939645,0.242285598483051,0.39738910376518793,29,0.345418 ± 0.0388136
AD_MAE,0.00038471073508958325,3.6904473900752256e-05,0.00038770940074986425,0.0003045891419195095,0.00047600948730161524,29,0.000384711 ± 3.69045e-05
AD_RMSE,0.0005909960357516315,5.408474767869618e-05,0.000593234939927267,0.00046876290816595336,0.0007190671123962036,29,0.000590996 ± 5.40847e-05
AD_r,0.34404152089007956,0.039678973286648545,0.35145692197829426,0.2305337073004506,0.401272874084342,29,0.344042 ± 0.039679
RD_MAE,0.0003086656431711299,3.316736314134855e-05,0.00031085174831784455,0.00023887847719009485,0.0003895198894778161,29,0.000308666 ± 3.31674e-05
RD_RMSE,0.0004976743557818052,5.36873153503733e-05,0.0004983228668479791,0.0003769833124764064,0.0006223130505891298,29,0.000497674 ± 5.36873e-05
RD_r,0.3353813330410321,0.038539642144608505,0.34240638378620514,0.23933872546289747,0.3848394117312155,29,0.335381 ± 0.0385396
DWI_MAE,520.2249256002085,72.26491744456338,496.55516650486123,404.08935801742945,661.7022760174092,29,520.225 ± 72.2649
DWI_RelMSE,0.1388236806708483,0.02740984905805757,0.14641511493824363,0.08361301726853011,0.1918038593258297,29,0.138824 ± 0.0274098
final_loss,0.5836138841138585,0.0,0.5836138841138585,0.5836138841138585,0.5836138841138585,29,0.583614 ± 0
best_loss,0.44980027768660413,0.0,0.44980027768660413,0.44980027768660413,0.44980027768660413,29,0.4498 ± 0
training_time_sec,5941.313187599182,0.0,5941.313187599182,5941.313187599182,5941.313187599182,29,5941.31 ± 0
