subject_id,ok,error,diffusion_dir,dwi_path,shape_xyz,n_volumes,n_brain_voxels,n_b0,n_b1000,n_b2000,n_b3000,n_diffusion_dirs,shell_type,is_multi_shell,unique_bvals
101309,True,,E:/BaiduNetdiskDownload/HCP/3T 146\101309\101309\T1w/Diffusion,E:/BaiduNetdiskDownload/HCP/3T 146\101309\101309\T1w/Diffusion\data.nii.gz,145x174x145,288,799670,18,90,90,90,270,multi-shell,True,"5.0,990.0,995.0,1000.0,1005.0,1985.0,1990.0,1994.0,1995.0,2000.0,2005.0,2010.0,2980.0,2984.0,2985.0,2989.0,2990.0,2994.0,2995.0,2997.0,3000.0,3005.0,3009.0,3010.0"
102715,True,,E:/BaiduNetdiskDownload/HCP/3T 146\102715\102715\T1w/Diffusion,E:/BaiduNetdiskDownload/HCP/3T 146\102715\102715\T1w/Diffusion\data.nii.gz,145x174x145,288,941156,18,90,90,90,270,multi-shell,True,"5.0,990.0,995.0,1000.0,1005.0,1010.0,1985.0,1990.0,1995.0,2000.0,2005.0,2010.0,2985.0,2990.0,2995.0,3000.0,3005.0,3010.0"
103515,True,,E:/BaiduNetdiskDownload/HCP/3T 146\103515\103515\T1w/Diffusion,E:/BaiduNetdiskDownload/HCP/3T 146\103515\103515\T1w/Diffusion\data.nii.gz,145x174x145,288,748637,18,90,90,90,270,multi-shell,True,"5.0,990.0,994.0,995.0,999.0,1000.0,1005.0,1984.0,1985.0,1989.0,1990.0,1994.0,1995.0,1999.0,2000.0,2004.0,2005.0,2010.0,2980.0,2984.0,2985.0,2988.0,2989.0,2990.0,2994.0,2995.0,2999.0,3000.0,3004.0,3005.0,3009.0,3010.0"
104416,True,,E:/BaiduNetdiskDownload/HCP/3T 146\104416\104416\T1w/Diffusion,E:/BaiduNetdiskDownload/HCP/3T 146\104416\104416\T1w/Diffusion\data.nii.gz,145x174x145,288,750742,18,90,90,90,270,multi-shell,True,"5.0,990.0,995.0,1000.0,1005.0,1985.0,1990.0,1995.0,2000.0,2005.0,2010.0,2980.0,2985.0,2990.0,2995.0,3000.0,3005.0,3010.0"
106319,True,,E:/BaiduNetdiskDownload/HCP/3T 146\106319\106319\T1w/Diffusion,E:/BaiduNetdiskDownload/HCP/3T 146\106319\106319\T1w/Diffusion\data.nii.gz,145x174x145,288,793349,18,90,90,90,270,multi-shell,True,"5.0,990.0,995.0,1000.0,1005.0,1985.0,1990.0,1995.0,2000.0,2005.0,2010.0,2980.0,2985.0,2990.0,2995.0,3000.0,3005.0,3010.0"
107321,True,,E:/BaiduNetdiskDownload/HCP/3T 146\107321\107321\T1w/Diffusion,E:/BaiduNetdiskDownload/HCP/3T 146\107321\107321\T1w/Diffusion\data.nii.gz,145x174x145,288,716771,18,90,90,90,270,multi-shell,True,"5.0,990.0,995.0,1000.0,1005.0,1985.0,1990.0,1995.0,2000.0,2005.0,2010.0,2980.0,2985.0,2990.0,2995.0,3000.0,3005.0,3010.0"
107422,True,,E:/BaiduNetdiskDownload/HCP/3T 146\107422\107422\T1w/Diffusion,E:/BaiduNetdiskDownload/HCP/3T 146\107422\107422\T1w/Diffusion\data.nii.gz,145x174x145,288,768840,18,90,90,90,270,multi-shell,True,"5.0,990.0,995.0,1000.0,1005.0,1985.0,1990.0,1995.0,2000.0,2005.0,2010.0,2980.0,2985.0,2990.0,2995.0,3000.0,3005.0,3010.0"
107725,True,,E:/BaiduNetdiskDownload/HCP/3T 146\107725\107725\T1w/Diffusion,E:/BaiduNetdiskDownload/HCP/3T 146\107725\107725\T1w/Diffusion\data.nii.gz,145x174x145,288,751504,18,90,90,90,270,multi-shell,True,"5.0,989.0,990.0,994.0,995.0,1000.0,1004.0,1005.0,1984.0,1985.0,1989.0,1990.0,1994.0,1995.0,1999.0,2000.0,2004.0,2005.0,2009.0,2010.0,2980.0,2983.0,2984.0,2985.0,2989.0,2990.0,2993.0,2994.0,2995.0,2998.0,2999.0,3000.0,3003.0,3004.0,3005.0,3008.0,3009.0,3010.0"
108525,True,,E:/BaiduNetdiskDownload/HCP/3T 146\108525\108525\T1w/Diffusion,E:/BaiduNetdiskDownload/HCP/3T 146\108525\108525\T1w/Diffusion\data.nii.gz,145x174x145,288,767938,18,90,90,90,270,multi-shell,True,"5.0,990.0,995.0,1000.0,1005.0,1010.0,1985.0,1990.0,1995.0,2000.0,2005.0,2010.0,2985.0,2990.0,2995.0,3000.0,3005.0,3010.0"
109830,True,,E:/BaiduNetdiskDownload/HCP/3T 146\109830\109830\T1w/Diffusion,E:/BaiduNetdiskDownload/HCP/3T 146\109830\109830\T1w/Diffusion\data.nii.gz,145x174x145,288,633417,18,90,90,90,270,multi-shell,True,"5.0,990.0,995.0,1000.0,1005.0,1985.0,1990.0,1995.0,2000.0,2005.0,2010.0,2980.0,2985.0,2989.0,2990.0,2995.0,3000.0,3004.0,3005.0,3009.0,3010.0"
