metric,mean,std,median,min,max,n,mean_pm_std
FA_MAE,0.18884131952355399,0.10000040749309172,0.1535245539761077,0.13739360921541866,0.4884814950187044,29,0.188841 ± 0.1
FA_RMSE,0.24753213674647595,0.09166512841682885,0.21440937221141482,0.1924705418302316,0.5200894485518964,29,0.247532 ± 0.0916651
FA_r,0.37565748252165515,0.13436450020999877,0.4121859652694049,0.08969621918955795,0.5399305090050317,29,0.375657 ± 0.134365
MD_MAE,0.00036302484249265137,0.0005382923766991435,0.00019662871660800394,0.0001491695925269724,0.0022774594834741794,29,0.000363025 ± 0.000538292
MD_RMSE,0.0010050362066269711,0.0020421530442190417,0.000357677880475993,0.0002755970313512439,0.00840075400251727,29,0.00100504 ± 0.00204215
MD_r,0.7068467910300799,0.07369610124854512,0.7259489949247068,0.5176452164678023,0.8221264971845428,29,0.706847 ± 0.0736961
AD_MAE,0.0005719554689194078,0.0009206776845333449,0.00028296713335552336,0.00023439252855132943,0.003950867099804629,29,0.000571955 ± 0.000920678
AD_RMSE,0.001625707386654151,0.0036729216270801578,0.0004439133559515822,0.00035681433255646604,0.014262719333848822,29,0.00162571 ± 0.00367292
AD_r,0.6475394709168397,0.09482441074090524,0.6650868062612116,0.3359249399209516,0.7846088136902798,29,0.647539 ± 0.0948244
RD_MAE,0.0003238925871844455,0.00034330556723569496,0.00021650059016282026,0.00017541198789704845,0.0016633830132508779,29,0.000323893 ± 0.000343306
RD_RMSE,0.0007624909717206636,0.0013146965232305266,0.00035603496323546966,0.0002795405414160606,0.006147027902846422,29,0.000762491 ± 0.0013147
RD_r,0.7053154870084517,0.07908642271882124,0.731257042768178,0.4792017477266933,0.8213105118118443,29,0.705315 ± 0.0790864
DWI_MAE,391.48343537932794,87.81816553598932,364.94605362616664,299.98364203538284,673.6883688857632,29,391.483 ± 87.8182
DWI_RelMSE,0.07026192285036226,0.024387319479709697,0.06603939274395529,0.04392635319592504,0.138832103893229,29,0.0702619 ± 0.0243873
final_loss,0.5812903589774256,0.6064413643962504,0.3841539332742228,0.1004934194592797,3.252478650828774,29,0.58129 ± 0.606441
best_loss,0.5812903589774256,0.6064413643962504,0.3841539332742228,0.1004934194592797,3.252478650828774,29,0.58129 ± 0.606441
training_time_sec,185.70765344849949,29.41477748072036,178.1706519126892,146.06733083724976,291.3128228187561,29,185.708 ± 29.4148
