metric,mean,std,median,min,max,n,mean_pm_std
FA_MAE,0.1954827784326998,0.09725360512169581,0.15947083608415094,0.14568398275958208,0.488457583603139,29,0.195483 ± 0.0972536
FA_RMSE,0.2560939521717474,0.08829635982497056,0.22366994448722877,0.20676161278105826,0.5199091027941484,29,0.256094 ± 0.0882964
FA_r,0.32320443081317807,0.13676273987553572,0.36288392741589776,0.03224113346294477,0.5302564748525196,29,0.323204 ± 0.136763
MD_MAE,0.0002917982587655492,0.0003805349007126596,0.000208108547061231,0.00015842630273530688,0.0022444731387425815,29,0.000291798 ± 0.000380535
MD_RMSE,0.0006357679679872393,0.001322079832822778,0.0003795554341325722,0.00029680566715293937,0.00749948738489479,29,0.000635768 ± 0.00132208
MD_r,0.6560004041358125,0.11008481804016731,0.6769434013352648,0.37488709941401077,0.8128140867491981,29,0.656 ± 0.110085
AD_MAE,0.00043607100567654876,0.0007008903235757365,0.0003083628542000784,0.000256077912894482,0.004075872448774984,29,0.000436071 ± 0.00070089
AD_RMSE,0.0009536938347491341,0.002598443392283701,0.00046885923697736104,0.00037970380448794263,0.01446100565483205,29,0.000953694 ± 0.00259844
AD_r,0.5998446929192708,0.11808701687574165,0.6267842944722962,0.369274342511484,0.7742769224283312,29,0.599845 ± 0.118087
RD_MAE,0.00028800159165185855,0.00021926448843838226,0.00023746383088761355,0.00018679140172011245,0.0013739468375208689,29,0.000288002 ± 0.000219264
RD_RMSE,0.0005257818589985716,0.0007081334223804148,0.0003786582472630631,0.00030381006556644323,0.004182237392899723,29,0.000525782 ± 0.000708133
RD_r,0.6550903569317109,0.11175569330706125,0.6920310143429422,0.3687146871102106,0.8101074388738838,29,0.65509 ± 0.111756
DWI_MAE,410.0825732219162,95.83857333133365,395.79330581627596,300.9400435984958,721.4855155901831,29,410.083 ± 95.8386
DWI_RelMSE,0.08160757766448595,0.03435231322238498,0.07134609234068415,0.047362126327140305,0.1888502259029822,29,0.0816076 ± 0.0343523
final_loss,0.5798589024024351,0.607664538456043,0.3841539332742228,0.05898117878455288,3.252478650828774,29,0.579859 ± 0.607665
best_loss,0.301486745597092,0.2553563301337315,0.19211026362361425,0.04155225235887844,1.036849332943638,29,0.301487 ± 0.255356
training_time_sec,223.4329867938469,92.77353762406383,176.38721704483032,135.2884542942047,423.41141414642334,29,223.433 ± 92.7735
