metric,mean,std,median,min,max,n,mean_pm_std
FA_MAE,0.22433722247449658,0.0,0.22433722247449658,0.22433722247449658,0.22433722247449658,1,0.224337 ± 0
FA_RMSE,0.2947922916118808,0.0,0.2947922916118808,0.2947922916118808,0.2947922916118808,1,0.294792 ± 0
FA_r,0.03224113234079961,0.0,0.03224113234079961,0.03224113234079961,0.03224113234079961,1,0.0322411 ± 0
MD_MAE,0.00018589137015632214,0.0,0.00018589137015632214,0.00018589137015632214,0.00018589137015632214,1,0.000185891 ± 0
MD_RMSE,0.0003426857304023564,0.0,0.0003426857304023564,0.0003426857304023564,0.0003426857304023564,1,0.000342686 ± 0
MD_r,0.492381161695486,0.0,0.492381161695486,0.492381161695486,0.492381161695486,1,0.492381 ± 0
AD_MAE,0.00031162476770741813,0.0,0.00031162476770741813,0.00031162476770741813,0.00031162476770741813,1,0.000311625 ± 0
AD_RMSE,0.0004906689803096601,0.0,0.0004906689803096601,0.0004906689803096601,0.0004906689803096601,1,0.000490669 ± 0
AD_r,0.3695252421537603,0.0,0.3695252421537603,0.3695252421537603,0.3695252421537603,1,0.369525 ± 0
RD_MAE,0.0002273972246904622,0.0,0.0002273972246904622,0.0002273972246904622,0.0002273972246904622,1,0.000227397 ± 0
RD_RMSE,0.00035319452370702163,0.0,0.00035319452370702163,0.00035319452370702163,0.00035319452370702163,1,0.000353195 ± 0
RD_r,0.4421845123877267,0.0,0.4421845123877267,0.4421845123877267,0.4421845123877267,1,0.442185 ± 0
DWI_MAE,406.248533635736,0.0,406.248533635736,406.248533635736,406.248533635736,1,406.249 ± 0
DWI_RelMSE,0.06363655410688618,0.0,0.06363655410688618,0.06363655410688618,0.06363655410688618,1,0.0636366 ± 0
final_loss,0.05898117878455288,0.0,0.05898117878455288,0.05898117878455288,0.05898117878455288,1,0.0589812 ± 0
best_loss,0.048389214604180684,0.0,0.048389214604180684,0.048389214604180684,0.048389214604180684,1,0.0483892 ± 0
training_time_sec,364.9452967643738,0.0,364.9452967643738,364.9452967643738,364.9452967643738,1,364.945 ± 0
